item400,O*Net Job Family Categories ,,O*Net Job Family Categories (Kulas)
Public Healthcare- physiotherapy,Healthcare Practitioner and Technical,,
Quality Manager,Business and Financial Operations,,
pharmacist technician,Healthcare Support,,
Account Manager,Sales and Related,,
Finance Officer,Business and Financial Operations,,
Recon admin clerk,Office and Administrative Support,,
architect,Architecture and Engineering,,
Digital Designer,Arts Design Entertainment Sports Media,,
Computer programmer,Computer and Mathematical,,
Engineering Manager,Management,,
delivering things from food to people belongings,Transportation and Material Moving,,
Librarian,Educational Instruction and Library,,
research funding officer,Life Physical and Social Science,,
teaching,Educational Instruction and Library,,
Financial Analyst,Business and Financial Operations,,
Psychologist,Community and Social Service,,
SAP System Consultant inhouse,Business and Financial Operations,,
technician,Installation Maintenance and Repair,,
ventilation mechanic,Installation Maintenance and Repair,,
Accountant,Business and Financial Operations,,
Cybersecurity Analytic,Computer and Mathematical,,
Account negotiator in arrears department in the Bank,Sales and Related,,
programmer,Computer and Mathematical,,
Audit Team Leader,Business and Financial Operations,,
"Diplomat for U.S. State Department, currently stationed in Washington DC. ",Military Specific,,
Customer Service / Warehouse Organisation,Sales and Related,,
Project manager,Business and Financial Operations,,
"Security Guard, at an IT reception desk",Protective Service,,
Graphic designer,Arts Design Entertainment Sports Media,,
Junior Software Tester,Computer and Mathematical,,
Network Operations Center Analyst,Business and Financial Operations,,
Nutrition,Healthcare Support,,
NA,Other,,
Childcare,Community and Social Service,,
Phone dispatcher,Office and Administrative Support,,
Training assistant,Other,,
ADMINISTRATION,Office and Administrative Support,,
"VP, Risk",Other,,
Executive search senior consultant,Other,,
Market Intelligence and Institutional Relations Coordinator,Office and Administrative Support,,
Health care worker,Management,,
Waiter,Food Preparation and Serving Related,,
i am a researcher in a nanotechnology research group  ,Life Physical and Social Science,,
Warehouse analyst and supervisor,Management,,
Merchandiser ,Sales and Related,,
physical theapist,Healthcare Practitioner and Technical,,
Business Intelligence Consultant,Business and Financial Operations,,
Medic consultant,Healthcare Support,,
Bus Screener/Cooker,Food Preparation and Serving Related,,
Financial Systems Analyst III,Business and Financial Operations,,
warehouse foreman,Management,,
Manager and waitress,Management,,
Candidate Attorney ,Legal,,
Digital Marketing Campaigns Specialist at HSBC,Arts Design Entertainment Sports Media,,
Senior Associate,Other,,
Administrator ,Management,,
Supply chain analyst,Business and Financial Operations,,
Preschool teacher,Educational Instruction and Library,,
Millwright/technician ,Building and Grounds Cleaning and Maintenance,,
mkt & design coordinator ,Arts Design Entertainment Sports Media,,
Administrative,Office and Administrative Support,,
OPS Assistant,Office and Administrative Support,,
Contact center specialist for a hospital organization,Office and Administrative Support,,
Intern in the area of human resources,Office and Administrative Support,,
Paratransit bus driver,Transportation and Material Moving,,
Cashier,Sales and Related,,
Human Resources,Management,,
61411312c6c69960357cb7a0,Other,,
Spare Parts sales Manager for a multinational Company,Management,,
Agricultural Technician,Farming Fishing and Forestry,,
Analyst,Business and Financial Operations,,
"Working in production, retail, managing of food company.",Food Preparation and Serving Related,,
Teacher,Educational Instruction and Library,,
Finance Manager,Business and Financial Operations,,
Freelance Musician ,Arts Design Entertainment Sports Media,,
Retail worker,Sales and Related,,
"Mercator Murska Sobota, Vojkova cesta 3",Other,,
Self employed real estate agent,Sales and Related,,
Software developer,Computer and Mathematical,,
Occupational Therapist,Healthcare Practitioner and Technical,,
gas station employee,Sales and Related,,
NA,Other,,
Production Technologist,Production,,
Assistant Professional Officer,Other,,
FINANCIAL PLANNING,Business and Financial Operations,,
Claims processing consultant.,Business and Financial Operations,,
Audit associate,Office and Administrative Support,,
covid19 brigades,Healthcare Support,,
Accountant,Business and Financial Operations,,
business analyst,Business and Financial Operations,,
Software developer,Computer and Mathematical,,
Assistant manager,Management,,
Paralegal Compliance and Reporting Officer,Office and Administrative Support,,
librarian/professor,Educational Instruction and Library,,
NA,Other,,
Office administrator,Office and Administrative Support,,
server,Food Preparation and Serving Related,,
Administration Data Analyst ,Computer and Mathematical,,
Data Capturer,Computer and Mathematical,,
Driver and kitchen assistant,Food Preparation and Serving Related,,
Graphic designer,Arts Design Entertainment Sports Media,,
COLLECTION ANALYST,Other,"we need an analyst category - that would capture a lot of the ""others""",
Claims Administrator,Other,,
Veterinary Assistant,Other,,
Accounts payable analyst,Business and Financial Operations,,
Admins clerk at an Accounting office.,Office and Administrative Support,,
visual merchandiser,Arts Design Entertainment Sports Media,,
Buyer,Sales and Related,,
Leader in strategic initiatives,Management,,
Office Administration and Accounts ,Office and Administrative Support,,
Community Manager,Management,,
Production control,Business and Financial Operations,,
Occupational Therapist ,Healthcare Practitioner and Technical,,
Customer Care representative in a manufacturing company,Sales and Related,,
Company director ,Management,,
NA,Other,,
legal secretary,Office and Administrative Support,,
Network Engineer,Architecture and Engineering,,
Student Hub Advisor,Educational Instruction and Library,,
Cornershop delivery ,Food Preparation and Serving Related,,
GENERAL MANAGER,Management,,
Dentist in charge of a small group of interns,Healthcare Practitioner and Technical,,
 microbiology Laboratory,Management,,
Attorney,Legal,,
Arquitecta,Architecture and Engineering,,
Head of intermediate grades (4-7) of a primary school ,Educational Instruction and Library,,
University Researcher,Life Physical and Social Science,,
The study discusses the initial and environmental conditions of human social and employment.,Other,,
Financial Advisor,Business and Financial Operations,,
Administrative in a Health facility,Office and Administrative Support,,
ADMINISTRATIVE,Office and Administrative Support,,
Real Estate Agent,Sales and Related,,
Teaching music and handling equipment (related to music),Educational Instruction and Library,,
Sales,Sales and Related,,
I am duty manager/load master/process instructor,Management,,
solution center engineer,Architecture and Engineering,,
MARKETING MANAGER,Management,,
Logistics Administrator,Office and Administrative Support,,
Director of Support Engineer,Management,,
Data Analyst,Other,,
cleaning,Personal Care and Service,,
Waiting list coordinator ,Office and Administrative Support,,
research assistant,Other,,
Teacher,Educational Instruction and Library,,
Dental Assistant,Healthcare Support,,
fund accountant,Business and Financial Operations,,
Science Educator,Educational Instruction and Library,,
consultant ,Other,,
Farmer,Farming Fishing and Forestry,,
store operator,Management,,
Records manager,Office and Administrative Support,,
All round supermarket employee,Management,,
"web and software tester, stores tester and auditor",Computer and Mathematical,,
Administrative tasks in Public Government,Office and Administrative Support,,
Primary job,Other,,
Sales assistant,Sales and Related,,
English Teacher,Educational Instruction and Library,,
Food Courier,Food Preparation and Serving Related,,
business executive,Management,,
teacher,Educational Instruction and Library,,
Administrative ,Office and Administrative Support,,
Call Center Assistant,Sales and Related,,
care provider for children and the elderly,Personal Care and Service,,
Data Specialist,Other,,
auxiliary force,Military Specific,,
613a88ded0b19096955dece9,Other,,
Teacher,Educational Instruction and Library,,
senior software engineer,Computer and Mathematical,,
(Software) Application Specialist,Computer and Mathematical,,
manager,Management,,
Operations Staff,Business and Financial Operations,,
Advertising Copywriter,Office and Administrative Support,,
Insurance Claims Technician,Other,,
Teaching,Educational Instruction and Library,,
Assistant to the Coordination of Education and Outreach,Office and Administrative Support,,
Waitress,Food Preparation and Serving Related,,
"Packaging, physical jobs",Production,,
