"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"hc28",197,123,0.170731707317073,0.37781331744509,0,0.0909090909090909,0,0,1,1,1.72885019989323,0.997228318255716,0.0340662795913205
"hc29",198,177,0.0847457627118644,0.279293076348391,0,0,0,0,1,1,2.95680919519718,6.78112765004144,0.0209929531485959
"hc30",199,79,0.0632911392405063,0.245041710311276,0,0,0,0,1,1,3.5192449477192,10.5187119181351,0.0275693463493436
"hc31",200,470,0.170212765957447,0.376220058555208,0,0.0877659574468085,0,0,1,1,1.74943122565175,1.06278442792306,0.0173537372551817
"hc32",201,509,0.143418467583497,0.350843897883231,0,0.0562347188264059,0,0,1,1,2.02871408882862,2.11985717488897,0.0155508823672674
"hc33",202,495,0.18989898989899,0.392617848806453,0,0.113350125944584,0,0,1,1,1.57646701164876,0.486242782872776,0.0176468599777283
"hc34",203,408,0.294117647058824,0.456204516706858,0,0.24390243902439,0,0,1,1,0.900375738554976,-1.19222764882097,0.0225854890656078
"hc35",204,514,0.0953307392996109,0.293957316703475,0,0,0,0,1,1,2.74789531315719,5.56176054572208,0.0129659014074006
"hc36",205,521,0.140115163147793,0.347440069791266,0,0.0503597122302158,0,0,1,1,2.06766064273333,2.27960702390621,0.0152216258231416
"hc37",206,477,0.262054507337526,0.440213819758924,0,0.203655352480418,0,0,1,1,1.07877874112033,-0.837980023325698,0.0201560061800308
"hc38",207,400,0.1025,0.303684558015291,0,0.003125,0,0,1,1,2.61130333785385,4.83100136006182,0.0151842279007645
"hc39",208,337,0.127596439169139,0.334136026601438,0,0.03690036900369,0,0,1,1,2.2224392235148,2.948010296783,0.0182015491786132
"hc40",209,476,0.182773109243697,0.386887007837249,0,0.104712041884817,0,0,1,1,1.63644909906958,0.679406209132626,0.0177329369302074
"hc41",210,404,0.155940594059406,0.36324885882117,0,0.0709876543209877,0,0,1,1,1.88965644578466,1.57471766448215,0.0180723061914201
"hc42",211,515,0.106796116504854,0.309154154161759,0,0.00968523002421308,0,0,1,1,2.53880063085557,4.45416881855476,0.0136229597054693
"hc43",212,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"hc44",213,412,0.12621359223301,0.332493686543004,0,0.0333333333333333,0,0,1,1,2.24292474892585,3.03810312543052,0.0163807882077801
"hc45",214,529,0.12476370510397,0.330763566406586,0,0.0329411764705882,0,0,1,1,2.2646204211339,3.13444158582401,0.0143810246263733
"hc46",215,481,0.135135135135135,0.342223782220227,0,0.0441558441558442,0,0,1,1,2.127884319962,2.53317110489668,0.0156040613294493
"hc47",216,284,0.123239436619718,0.329292097116997,0,0.0307017543859649,0,0,1,1,2.28024872121269,3.21087728788023,0.0195398910523321
"hc48",217,345,0.11304347826087,0.317105845562948,0,0.0180505415162455,0,0,1,1,2.43347711202031,3.93323672131189,0.0170724048287943
"hc49",218,404,0.123762376237624,0.329718585129725,0,0.0308641975308642,0,0,1,1,2.27652525178573,3.19048282211171,0.0164041127253747
"hc50",219,434,0.124423963133641,0.330445517693117,0,0.0316091954022989,0,0,1,1,2.26791185977548,3.15069979571263,0.0158618924379492
"hc51",220,431,0.148491879350348,0.356000129741215,0,0.0608695652173913,0,0,1,1,1.97018218403204,1.88600986853738,0.017147922859998
"hc52",221,445,0.157303370786517,0.364496332872913,0,0.0728291316526611,0,0,1,1,1.87615892721725,1.52341085360795,0.0172787832929563
"hc53",222,508,0.135826771653543,0.342942231683418,0,0.0465686274509804,0,0,1,1,2.11963601058165,2.49778533501556,0.0152156010818985
"hc54",223,517,0.147001934235977,0.354450806216123,0,0.0602409638554217,0,0,1,1,1.98795024881769,1.95574027153872,0.0155887286332429
"hc55",224,454,0.127753303964758,0.334183160740984,0,0.0357142857142857,0,0,1,1,2.22289338917274,2.94776243264666,0.0156839928586002
"hc56",225,376,0.164893617021277,0.371578957942744,0,0.0827814569536424,0,0,1,1,1.7988916511788,1.23932846020813,0.0191627215942424
"hc57",226,305,0.140983606557377,0.34857654580164,0,0.0530612244897959,0,0,1,1,2.05314611567087,2.22272882192619,0.0199594349506901
"hc58",227,502,0.165338645418327,0.371856464781451,0,0.082089552238806,0,0,1,1,1.79636354416022,1.22938284927534,0.016596766257278
